name,Bo,R^2
ACAJIZ_clean,26.79,1.000
ACAJOF_clean,4.73,1.000
ACUFEK_clean,11.90,0.999
ADASEF_clean,2.00,1.000
ADASIJ_clean,1.76,1.000
ADATEG_manual,1.52,1.000
AGOFEJ_clean,1.99,0.948
ALAMUW_clean,21.22,1.000
ANOMUM_clean,22.75,0.995
ANONAT_manual,21.95,0.995
ANUGEW_clean,13.63,0.992
ANUGIA_clean,15.42,0.999
ANUGOG_clean,17.73,0.999
ASIVAB_clean,10.35,1.000
AVAJUE_clean,1.87,1.000
AVAKAL_clean,1.70,0.999
AVAKEP_clean,3.59,0.996
AVEHAM_clean,22.71,1.000
AYOQEM_clean,17.73,1.000
AZAWAB_clean,23.57,1.000
BARZOK_clean,14.50,0.878
BAZFUF01_clean,9.23,0.993
BAZFUF_clean,9.26,0.978
BAZGAM_clean,1.78,0.999
BAZGEQ_clean,6.01,0.847
BEXSII_clean,3.00,0.908
BEXVEH_clean,19.48,1.000
BIMDEF_clean,40.27,1.000
BIMDIL_clean,58.31,1.000
BINROH_clean,10.89,1.000
BIPSUQ_clean,4.59,1.000
BODPAN_clean,31.25,0.997
BOYCEY_auto,18.25,0.998
BUSQUC_clean,51.38,1.000
BUXNOZ_clean,20.50,0.996
CAJQEL_clean,13.56,1.000
CAJQIP_clean,11.18,0.999
CAVPIA_manual,5.57,1.000
CEJCAW_clean,19.84,1.000
CIRTUU_clean,2.93,1.000
CUYWUP_clean,5.98,0.956
DAKVUI_clean,26.91,1.000
DEYNIG_clean,22.04,1.000
DICKEH_clean,24.03,1.000
DIHVIB01_clean,31.32,0.997
DIHVIB_clean,31.29,0.997
DOKDEN_clean,13.12,1.000
DOPHOH_clean,8.94,1.000
DOPHUN_clean,8.94,1.000
DOPJAV_clean,8.51,1.000
DUGMOJ_clean,12.87,1.000
EBAMUS_clean,11.23,1.000
EBATUZ_clean,7.32,1.000
EBAVAH_auto,23.25,0.999
EBIZUN_clean,15.74,1.000
EJOQUR_clean,4.75,1.000
ELERIY_clean,39.47,1.000
EMUBIZ_clean,31.67,1.000
EMUBOF_clean,30.57,1.000
ENIHUG01_clean,16.94,0.999
ENIHUG_clean,16.93,0.999
EPEXUU_clean,10.94,1.000
EPEYAB_clean,10.92,1.000
