name,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6
ACAJIZ_clean,94.98010947,20.94643898,29.52274873,7.801864952,7.404084211,33.41626498
ACAJOF_clean,22.31913684,0.919822506,15.69333304,11.97532769,8.797004908,13.78023249
ACUFEK_clean,40.16305739,-0.150007137,0.113326775,3.301535852,2.779060862,1.621373982
ADASAB_charged,1.982596119,0.678138947,0.633034647,0.409513994,0.151290787,0.140588756
ADASEF_clean,6.029632774,4.642538016,5.13109844,2.133539317,1.584672478,1.61683448
ADASIJ_clean,6.843649278,6.095502279,4.779710402,2.104438843,2.845975073,2.188051178
ADATEG_manual,4.082615249,0.936992852,0.797878699,0.356686042,0.125997106,0.123030815
AGOFEJ_clean,10.60874914,4.238415237,0.429718322,0.07611243,2.926515586,2.161362889
ALAMUW_clean,70.32826225,11.92364244,7.422685504,3.653114072,1.218041126,1.081397776
ANOMUM_clean,96.67169317,23.84402933,15.21773014,-0.021719623,0.950731178,0.736120127
ANONAT_manual,92.8490528,22.66894175,16.5793528,0.105045962,0.797939279,0.773865301
ANUGEW_clean,50.61184235,0.075522848,3.653118198,4.460550226,1.806222332,2.189079064
ANUGIA_clean,52.86328329,33.30746054,31.8543684,0.325070694,1.010039591,0.945774
ANUGOG_clean,58.51896154,32.9507777,0.270941335,0.849276559,1.719501721,2.630542107
ASIVAB_clean,44.3257446,8.623619882,-0.032376659,1.77015638,0.55671191,0.597399496
AVAJUE_clean,5.818341925,0.050704666,0.050698549,0.249999268,0.249927838,0.249960485
AVAKAL_clean,6.92958673,0.102621839,0.102677312,0.03504653,0.035208256,0.035389937
AVAKEP_clean,15.27210481,0.213579803,0.202222549,0.087975699,0.108575316,0.105542086
AVEHAM_clean,69.4358918,-2.901737925,3.543857654,3.084090494,28.53221688,30.02426832
AYOQEM_clean,58.18982662,10.42634258,7.372171086,6.463286712,0.878395388,1.48430769
AZAWAB_clean,98.87049449,7.152003709,4.680876884,0.785157482,1.449226021,1.758638097
BARZOK_clean,49.42631624,25.09880029,3.91055541,5.132731778,10.67811059,12.14643323
BAZFUF01_clean,41.44142537,0.336905066,0.336865051,0.174552477,0.174559783,0.174574288
BAZFUF_clean,41.44065517,0.337959486,0.338065569,0.175298084,0.175277417,0.175285173
BAZGAM_clean,6.943885848,0.74686438,0.584942336,0.010926259,0.003691676,0.215938754
BAZGEQ_clean,33.1404213,0.414145762,0.411545049,0.047610684,0.016228333,-0.002244641
BEXSII_clean,18.09812865,11.10483641,8.510484709,3.34675257,0.049828287,0.725861894
BEXVEH_clean,59.24168271,19.76608983,7.489328733,3.481701723,11.96274322,2.390495006
BIMDEF_clean,142.2836109,47.28103862,33.78049621,5.760752941,10.67745502,12.25218527
BIMDIL_clean,186.5250539,48.10459678,33.16317662,5.911300416,11.63920822,11.64075563
