name,Kv,Kr,Gv,Gr
ACAJIZ_clean,25.494,11.911,18.709,10.904
ACAJOF_clean,4.844,4.611,8.245,3.305
ACUFEK_clean,13.101,8.842,1.159,0.695
ADASAB_charged,0.66,0.653,0.284,0.214
ADASEF_clean,2,1.997,2.068,1.95
ADASIJ_clean,1.593,1.593,2.75,2.596
ADATEG_manual,1.361,1.36,0.303,0.205
AGOFEJ_clean,2.983,0.464,1.702,0.258
ALAMUW_clean,21.344,15.028,3.791,2.026
ANOMUM_clean,25.393,-0.086,7.827,-0.062
ANONAT_manual,24.784,0.539,7.771,0.246
ANUGEW_clean,14.705,0.196,2.663,0.202
ANUGIA_clean,16.76,1.994,7.745,0.961
ANUGOG_clean,16.492,0.786,5.927,0.805
ASIVAB_clean,11.43,-0.048,2.448,-0.115
AVAJUE_clean,1.939,1.939,0.16,0.055
AVAKAL_clean,2.31,2.299,0.042,0.04
AVAKEP_clean,5.091,5.085,0.102,0.101
AVEHAM_clean,20.115,57.312,10.452,11.377
AYOQEM_clean,19.139,17.455,3.954,1.873
AZAWAB_clean,23.725,5.016,5,1.573
BARZOK_clean,14.714,13.203,8.59,5.958
BAZFUF01_clean,13.814,13.814,0.172,0.172
BAZFUF_clean,13.814,13.814,0.173,0.173
BAZGAM_clean,2.314,2.282,0.187,0.013
BAZGEQ_clean,11.042,5.974,0.172,-0.018
BEXSII_clean,3.481,0.226,3.747,0.222
BEXVEH_clean,19.253,15.942,6.538,4.304
BIMDEF_clean,42.359,23.919,16.509,11.173
BIMDIL_clean,58.311,46.07,15.124,11.386
BINROH_clean,11.141,11.141,1.71,1.353
BIPSUQ_clean,4.707,2.59,2.06,0.779
BODPAN_clean,33.355,33.355,7.583,7.049
BOYCEY_auto,19.022,14.147,3.762,2.535
BUSQUC_clean,49.572,6.821,26.499,1.999
BUXNOZ_clean,22.801,3.747,6.487,1.118
CAJQEL_clean,16.849,11.068,4.343,0.923
CAJQIP_clean,6.828,1.799,1.529,0.609
CAVPIA_manual,5.563,5.544,4.32,2.381
CEJCAW_clean,19.093,3.848,12.772,1.823
CIRTUU_clean,2.944,2.938,1.933,1.848
CUYWUP_clean,5.844,1.667,1.356,0.707
DAKVUI_clean,16.165,3.378,8.027,2.61
DEYNIG_clean,23.183,7.021,13.587,5.239
DICKEH_clean,24.309,18.22,9.699,7.154
DIHVIB01_clean,33.375,33.375,7.605,7.065
DIHVIB_clean,33.37,33.37,7.6,7.061
DOKDEN_clean,12.92,12.75,10.357,3.496
DOPHOH_clean,8.965,8.965,9.255,4.414
DOPHUN_clean,8.966,8.966,9.255,4.414
