name,Kv,Kr,Gv,Gr
ACAJIZ_clean,25.416,11.888,18.703,10.893
ACAJOF_clean,4.809,4.578,8.241,3.267
ACUFEK_clean,13.441,10.554,0.854,-0.713
ADASAB_charged,0.411,0.397,0.243,0.172
ADASEF_clean,1.844,1.842,2.045,1.933
ADASIJ_clean,1.584,1.584,2.744,2.591
ADATEG_manual,1.296,1.295,0.293,0.202
AGOFEJ_clean,3.021,0.391,1.705,0.226
ALAMUW_clean,21.839,15.307,3.884,2.099
ANOMUM_clean,28.085,0.031,8.049,0.023
ANONAT_manual,27.435,0.392,7.955,0.196
ANUGEW_clean,15.212,0.175,2.673,0.186
ANUGIA_clean,17.71,2.022,7.84,0.934
ANUGOG_clean,16.927,0.664,5.996,0.698
ASIVAB_clean,11.365,-0.052,2.413,-0.126
AVAJUE_clean,1.923,1.923,0.155,0.048
AVAKAL_clean,2.233,2.222,0.037,0.037
AVAKEP_clean,5.523,5.499,0.09,0.088
AVEHAM_clean,22.605,19.181,11.735,5.011
AYOQEM_clean,19.496,17.721,4.008,1.887
AZAWAB_clean,24.322,5.05,5.012,1.511
BARZOK_clean,14.799,13.742,9.148,6.878
BAZFUF01_clean,13.813,13.813,0.17,0.17
BAZFUF_clean,13.813,13.813,0.17,0.17
BAZGAM_clean,2.199,2.297,0.163,-0.009
BAZGEQ_clean,11.82,9.516,-0.02,0.009
BEXSII_clean,4.608,1.091,3.167,0.634
BEXVEH_clean,19.394,15.967,6.547,4.287
BIMDEF_clean,42.606,24.034,16.494,11.163
BIMDIL_clean,58.275,46.023,15.063,11.345
BINROH_clean,11.161,11.161,1.712,1.355
BIPSUQ_clean,4.643,2.025,2.053,0.628
BODPAN_clean,33.553,33.553,7.537,7.022
BOYCEY_auto,20.237,14.195,3.987,2.535
BUSQUC_clean,51.341,6.275,27.172,1.888
BUXNOZ_clean,23.706,3.511,6.521,1.079
CAJQEL_clean,17.42,11.808,4.363,0.877
CAJQIP_clean,11.476,-17.994,2.977,1.065
CAVPIA_manual,5.565,5.546,4.318,2.376
CEJCAW_clean,19.151,3.748,12.812,1.82
CIRTUU_clean,2.919,2.914,1.92,1.837
CUYWUP_clean,7.615,1.806,1.758,0.905
DAKVUI_clean,26.69,24.351,8.031,6.517
DEYNIG_clean,22.513,6.425,13.356,4.983
DICKEH_clean,24.352,18.405,9.011,6.634
DIHVIB01_clean,33.583,33.583,7.574,7.048
DIHVIB_clean,33.587,33.587,7.578,7.051
DOKDEN_clean,13.016,12.865,10.397,3.508
DOPHOH_clean,8.954,8.954,9.252,4.42
DOPHUN_clean,8.955,8.955,9.252,4.42
DOPJAV_clean,8.587,6.518,5.12,4.131
DUGMOJ_clean,10.739,8.94,4.23,3.44
EBAMUS_clean,11.395,11.395,2.412,2.411
EBATUZ_clean,7.112,5.773,2.787,1.564
EBAVAH_auto,24.646,20.171,15.88,12.012
EBIZUN_clean,16.699,16.106,7.68,4.914
EJOQUR_clean,4.772,4.264,2.75,1.021
ELERIY_clean,40.799,40.799,23.199,20.554
EMUBIZ_clean,29.716,20.106,6.706,4.932
EMUBOF_clean,32.232,20.74,7.237,-0.604
ENIHUG01_clean,18.019,1.883,7.701,0.812
ENIHUG_clean,18.015,1.884,7.701,0.812
EPEXUU_clean,10.811,9.131,6.813,4.127
EPEYAB_clean,10.819,9.134,6.844,4.151
EPISOM_clean,21.924,20.889,7.132,5.555
EPOTAF_clean,1.46,-0.074,0.413,-0.252
EWUCOP_clean,26.555,1.433,19.757,1.453
EXAXAE01_clean,29.712,20.103,6.704,4.93
EXAXAE_clean,29.732,20.122,6.722,4.942
EXOZEX_clean,19.316,2.694,7.466,-3.978
EXOZIB_clean,13.623,3.713,3.954,0.858
FAGQAI_clean,21.961,2.409,11.03,2.037
FEBXIV_clean,0.853,0.321,0.407,0.178
FECXES_clean,26.701,24.355,8.031,6.516
FIBKEI_clean,9.861,4.356,4.368,0.392
FIGQUJ_clean,31.686,17.506,19.495,9.171
GADNUX_clean,16.105,14.529,4.827,4.169
GAFRUD_clean,9.524,4.689,4.052,2.482
GAGZEV_clean,14.212,14.202,8.305,7.533
GAMXAV_clean,12.509,8.363,5.498,0.491
GEGDED_clean,8.855,7.882,7.702,6.075
GUCHUJ_clean,42.84,6.345,20.252,4.367
GUJREK01_clean,21.91,20.164,11.594,6.68
GUJREK_clean,21.262,17.225,11.793,7.291
HABQUY_clean,14.355,14.348,7.74,7.41
HABRAF_manual,18.334,18.31,9.877,8.947
HAJMIQ_clean,33.575,33.575,7.564,7.041
HANWAW_clean,12.775,3.131,5.02,1.42
HAQJIV_clean,18.21,18.194,5.115,4.533
HEDCIE_clean,10.566,4.124,5.156,1.729
HEXVEM_clean,0.339,0.339,0.062,0.035
HIYGIH_clean,4.354,3.451,2.216,0.965
HOGLEV01_clean,11.507,3.023,8.962,4.428
HOGLEV_clean,8.355,7.255,3.755,0.648
HOJLEY_clean,15.034,1.833,11.449,1.036
ICAQOU_clean,5.326,5.319,4.306,2.294
IDUDES_clean,34.501,18.572,20.314,9.791
IDUDIW_clean,21.206,-4.906,17.476,-9.254
IKETIB_clean,32.526,32.526,7.507,6.66
IKETOH_manual,33.108,33.107,7.251,6.958
IKETUN_clean,32.525,32.525,7.506,6.66
IKOPEF_clean,22.468,-0.102,14.377,-0.261
IKOPIJ_clean,5.605,-4.892,1.608,-1.081
IXAKAU_clean,2.404,1.146,2.192,0.793
IYEHAX_clean,10.193,2.666,5.255,0.309
JUTCIM_clean,8.666,3.281,3.316,0.351
KABNIL_clean,22.124,21.03,18.014,5.725
KADLOT_clean,19.324,12.192,6.002,2.257
KADLUZ_clean,11.666,4.921,4.083,1.134
KAJZIH_clean,47.988,47.238,18.128,16.278
KANMIX_clean,35.489,34.906,13.159,11.063
KARNID_clean,12.522,8.904,5.269,1.542
KIJRUS_clean,19.141,-0.077,7.086,-0.051
KOJZUF_clean,11.713,0.452,10.666,0.097
KOZQEX_clean,4.412,4.409,1.681,1.43
LACNUB_clean,37.615,36.262,29.191,24.094
LAQNID_clean,23.856,20.616,5.412,2.782
LARXUA_clean,9.22,9.22,1.215,0.897
LASDEQ_clean,2.515,2.502,1.296,1.235
LASYOU_clean,21.316,17.94,19.298,7.289
LECFEG_clean,22.923,60.561,5.086,-31.357
LEDLEN_clean,4.309,-1.118,0.703,-0.965
LELDUD_clean,0.401,0.391,1.477,1.234
LIKDOA_clean,20.928,20.928,4.411,4.048
LIZWEX_charged,12.509,12.508,5.529,5.27
LOXWAY_clean,40.2,21.908,25.577,12.159
LOXWEC_clean,33.561,11.447,19.939,7.565
LUDLED_clean,33.578,33.578,7.567,7.043
LUDLIH_clean,33.578,33.578,7.568,7.043
LUSYEF_clean,15.185,14.301,3.794,2.057
LUYHAP_clean,23.076,9.429,4.979,2.683
MABJUV01_clean,54.263,30.525,30.365,15.754
MABJUV_clean,51.013,27.55,27.98,7.876
MABKEG_clean,36.918,24.07,18.425,11.44
MABKIK01_clean,31.666,19.729,21.125,13.405
MABKIK_clean,36.679,25.034,17.74,11.009
MAFJIO_clean,5.6,0.097,3.432,0.23
MAYKOO_clean,26.911,17.733,8.36,5.261
MEHMET_clean,20.809,20.809,10.343,9.489
MILROQ_clean,6.891,2.186,1.382,0.676
MIXBAY_clean,9.224,6.337,2.757,1.696
MIXBEC_clean,10.924,6.422,3.305,0.707
MIXBIG_auto,9.533,6.508,5.412,3.923
MOCKAR_clean,25.682,25.498,7.731,5.056
MOCKEV_clean,25.893,23.184,5.497,3.359
MOYYEF_clean,18.908,17.198,3.579,2.359
MOYYIJ_clean,2.773,1.507,1.244,0.61
MUDTEL_clean,28.712,28.709,21.755,20.486
MUNDAC_clean,29.719,20.107,6.707,4.932
MUNDEG_clean,5.757,5.102,3.173,1.917
MUNDOQ_clean,7.038,6.641,2.127,-0.968
NAFSOF_clean,16.658,0.008,1.574,0.013
NAHNES_clean,27.45,16.082,7.673,4.829
NASRIL_clean,32.531,1.362,9.672,0.784
NATKIF_clean,2.074,-0.001,0.137,-0.001
NATKOL_clean,5.391,0.205,1.574,0.15
NAYZOE_clean,10.241,10.185,0.201,0.196
NEJSAY_clean,49.587,-0.162,29.654,-0.012
NEJSEC_clean,49.831,0.492,30.234,0.096
NIBHOW_clean,6.566,6.163,0.743,0.389
NIBHUC_clean,1.804,-0.13,0.609,0.187
NIBJAK_clean,4.696,4.489,0.536,0.296
NIGDEO_clean,4.713,3.98,3.531,1.813
NIGDIS_clean,4.512,3.377,2.801,1.533
NOHHID_clean,16.648,11.88,12.562,3.302
NUBPIL_clean,3.568,3.169,3.557,1.724
NUTQAV_clean,34.262,34.233,17.425,12.446
OFOCUI_clean,24.117,23.838,8.281,5.394
OGEBAF01_clean,22.58,18.405,12.322,10.841
OGIKAR_clean,7.032,6.705,1.754,0.757
OKABAE_clean,12.467,11.722,4.518,3.943
OKABEI_clean,22.693,22.418,6.634,5.454
OKUSUK_clean,6.017,6.013,1.823,1.417
OKUTAR_clean,2.152,2.151,1.279,0.854
OKUTEV_clean,0.228,0.228,0.995,0.978
OMIPEH_clean,8.461,8.461,6.641,5.527
OMITUB_clean,4.085,4.085,5.54,4.108
ONIXOZ_clean,15.65,14.731,7.106,3.411
OQIZUL_clean,33.588,33.588,7.58,7.052
OWIZAW_clean,12.252,0.221,2.153,0.127
OYIVEY_clean,23.531,4.601,8.796,4.575
PAMHIW_clean,14.835,12.703,15.46,10.744
PARNIH_clean,4.168,-2.109,0.742,-0.462
PARNON_clean,7.004,1.108,0.713,0.233
PEWLUA_clean,3.133,2.769,2.645,1.911
PODKOK_clean,0.756,-0.329,0.481,3.472
PODKUQ_clean,0.478,0.238,0.445,0.316
QAGDIO_clean,16.754,14.877,3.239,2.316
QAQMON_clean,1.743,1.107,0.754,0.419
QIYDAF_clean,18.42,18.368,11.63,10.354
QIYDEJ_clean,20.645,20.444,14.953,12.392
QIYDIN01_clean,16.098,14.032,3.451,1.814
QIYDIN_clean,8.899,8.896,5.809,5.143
QIYDOT_clean,9.805,9.693,5.931,5.317
QOWQUO_manual,7.263,7.263,1.97,1.54
QOWRAV02_clean,7.222,7.222,1.985,1.648
QOWRAV03_clean,7.313,7.313,1.99,1.653
QOWRAV04_clean,7.198,7.198,1.984,1.647
QOWRAV05_clean,7.302,7.302,1.989,1.652
QOWRAV06_clean,7.183,7.183,1.983,1.646
QOWRAV07_clean,7.269,7.269,1.988,1.651
QOWRAV08_clean,7.187,7.187,1.984,1.647
QOWRAV09_clean,7.308,7.308,1.99,1.653
QOWRAV10_clean,7.311,7.311,1.99,1.653
QOWRAV11_clean,7.188,7.188,1.984,1.647
QOWRAV12_clean,7.312,7.312,1.99,1.653
QULKIS_charged,10.658,2.559,0.945,0.057
RAHNOF_clean,29.904,29.648,23.774,22.949
REWNEO01_clean,3.159,2.8,2.648,1.929
REWNEO_clean,7.158,6.814,3.193,2.149
REYMOZ_clean,33.582,33.582,7.572,7.046
RICBEM_clean,4.68,-0.122,1.1,-0.479
RIFGAQ_clean,33.555,33.555,7.54,7.024
RIPKIM01_clean,22.142,11.359,14.286,8.527
RIPKIM_clean,28.54,16.435,17.525,9.959
RUFZID_clean,5.254,3.226,7.572,2.896
RUPTED_clean,22.742,6.589,13.393,5.054
RUVKAV_clean,29.043,27.652,13.617,11.193
SONTUL_neutral_b,23.868,20.854,7.361,6.187
SONVAT_neutral_b,33.103,33.103,7.246,6.954
SONVEX_neutral_b,33.128,33.128,7.275,6.977
SONVIB_neutral_b,33.124,33.124,7.271,6.974
SOYWOT_neutral_b,33.105,33.105,7.248,6.956
SOYWUZ_clean,32.526,32.526,7.507,6.66
SUJNUH_clean,12.739,5.232,8.699,2.544
SUKYIH_clean,27.383,4.807,1.546,0.913
SUKYON_clean,23.019,0.351,1.39,0.217
TEMPEI_clean,13.451,1.657,2.126,0.306
TIJPOT_clean,18.328,2.432,18.771,1.358
TISPAO_clean,33.042,33.041,7.233,6.954
UCOCUM_neutral,33.105,33.105,7.248,6.956
UDEGIW_clean,49.984,15.788,17.871,6.818
UHASED_clean,31.64,8.782,25.182,-2.011
USEVOF_clean,26.361,21.931,6.78,4.559
UVEVUN_clean,37.674,37.674,11.876,7.468
UVIPIZ_clean,32.531,32.531,7.514,6.665
UVIPOF_clean,32.525,32.525,7.507,6.66
UXISUR_clean,33.583,33.583,7.574,7.048
UZUNAF01_clean,33.242,11.007,19.678,7.409
UZUNAF_clean,33.222,10.91,19.63,7.338
VETMIS_clean,1.501,0.138,0.387,0.092
VOGPEO_clean,8.534,2.605,4.186,-8.368
VUHJAK_clean,45.846,30.193,29.745,18.504
WAMREJ_clean,16.754,9.44,3.252,1.207
WAQKUX_clean,9.165,1.985,3.584,0.226
WIZKOH_clean,4.282,-1.03,10.331,1.431
WOCWAN_clean,40.275,19.773,24.8,11.281
WOHBIF_clean,51.205,18.742,27.071,10.232
WOLFAG_clean,22.562,16.264,16.095,2.798
WORREC_clean,29.887,-0.062,16.891,-0.114
WOYJIF_clean,18.67,15.008,5.906,4.873
WOYJOL_clean,14.842,10.096,5.69,4.215
WUKXEH_clean,7.195,6.846,3.199,2.664
WULJUJ_clean,33.576,33.576,7.565,7.041
WULKAQ_clean,33.546,33.546,7.528,7.016
XADDEN_manual,33.126,33.126,7.272,6.975
XADDIR_manual,33.127,33.126,7.273,6.976
XAFFOB_clean,8.4,0.229,1.563,0.051
XAFFUH_clean,3.519,1.593,0.244,0.119
XAHPIH_clean,3.543,1.593,0.794,0.477
XAKQOR_clean,5.786,0.562,1.599,0.819
XALXUF01_clean,5.697,5.581,3.2,2.059
XALXUF_clean,4.376,4.339,2.85,1.772
XAMDUM01_clean,33.126,33.125,7.272,6.975
XAMDUM02_clean,33.136,33.136,7.284,6.984
